,0,1,2,3,4,5,6,7,8,9
30,15mm metal snap,xxx,village hem snaps,1 per side = 2,cap and base color,none,none,none,none,none
31,boot hook,xxx,front gaiter,1 per side = 2,metal color,none,none,none,none,none
32,keyclip,xxx,right hand pocket,1,black,none,none,none,none,none
35,notions,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
36,grosgrain,xxx,under leg snaps,1 per side = 2,color,none,none,none,none,none
37,grosgrain,xxx,under boot hook,1 per side = 2,color,none,none,none,none,none
38,"grosgrain 1/4""",xxx,right hand pocket attach keyclip,1,color,none,none,none,none,none
39,elastic,none,waist band adjust,1 per side = 2,elastic,none,none,none,none,none
42,bonding film,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
43,bonding film,xxx,waist adjust tabs,1 per side = 2,color,none,none,none,none,none
44,bonding film,xxx,fly opening,1,color,none,none,none,none,none
45,bonding film,xxx,hand pocket zipper garages,1 per side = 2,color,none,none,none,none,none
46,bonding film,xxx,cargo pocket flaps,1,color,none,none,none,none,none
47,bonding film,xxx,back pocket flaps,1 per side = 2,color,none,none,none,none,none
49,velcro,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
50,"1"" x 1 1/4"" velcro with rounded corners",paiho loop #1057 on top / paiho hook etn7 on bottom,waist band,2 tabs,match to shell,none,none,none,none,none
51," 1/2"" x 1 1/2"" velcro with rounded corners",paiho loop #1057 on bag / paiho hook etn7 on flap,back pocket flaps (hidden),2 per side,match to shell,none,none,none,none,none
52,"1 1/4"" x  4 1/2"" velcro with rounded corners",paiho loop #1057 ,waist adjust - on body,1 per side = 2,match to shell,none,none,none,none,none
53,"1 1/4"" x 2"" velcro with rounded corners",paiho hook etn7 on flap,waist adjust - on tabs,1 per side = 2,match to shell,none,none,none,none,none
55,thread,spi,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
56,seams,10-12 spi,30 / 2,none,match to shell,none,none,none,none,none
57,topstitch,8-10 spi,30 / 2,none,match to shell,none,none,none,none,none
58,bartacks,none,100 / 2,none,match to shell,none,none,none,none,none
60,labels ,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
61,main label,none,center back waist band lining,1,none,none,none,none,none,none
64,hang tags,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
65,main hang tag,none,left hand pocket zipper,1,none,none,none,none,none,none
69,care and content labels,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
70,address label,factory sourced,lining left side seam,1,none,none,none,none,none,none
71,content label,factory sourced,lining left side seam,1,none,none,none,none,none,none
72,washing label,factory sourced,lining left side seam,1,none,none,none,none,none,none
